experiment_key,lot_number,family,stage,mae,rmse,mean_error
2024-07-11_08,4,ridge,template,0.552483592624604,0.5643488487649435,0.5524835926246041
2024-07-11_08,4,ridge,mean_shift,0.09010595226492057,0.12556425839163898,0.050148579267158766
2024-07-11_08,4,ridge,full_map,0.07954501259001641,0.12272798595650208,0.050148579267158766
2024-07-11_09,4,ridge,template,0.743309435321233,0.7530559788410577,0.7433094353212297
2024-07-11_09,4,ridge,mean_shift,0.39234539931203805,0.41051102663876854,0.3923453993120276
2024-07-11_09,4,ridge,full_map,0.3923453993120409,0.399007265325966,0.3923453993120347
2024-07-11_10,4,ridge,template,0.2677566263324694,0.29994288090544974,0.26775662633246355
2024-07-11_10,4,ridge,mean_shift,0.10679891038775807,0.1360089006390799,0.01504327730700794
2024-07-11_10,4,ridge,full_map,0.07206351645620442,0.09359683941574343,0.01504327730700794
2024-07-11_01,4,pls,template,0.6035388792855085,0.6325098245412559,-0.6035388792855088
2024-07-11_01,4,pls,mean_shift,0.13292683359814778,0.21157691161079675,-0.09463239505983267
2024-07-11_01,4,pls,full_map,0.10118851580490093,0.14133565292143138,-0.09463239505983267
2024-07-11_02,4,pls,template,0.6646883174877553,0.6793164976193424,-0.6646883174877516
2024-07-11_02,4,pls,mean_shift,0.23008046458225462,0.2694389814327044,-0.23008046458225095
2024-07-11_02,4,pls,full_map,0.23008046458225248,0.25024792399313334,-0.23008046458225095
2024-07-11_03,4,pls,template,0.6126534860270813,0.6181021717238625,-0.612653486027078
2024-07-11_03,4,pls,mean_shift,0.0870301018508726,0.11739684764079596,-0.08411907683383646
2024-07-11_03,4,pls,full_map,0.10397756183600991,0.11555277523572323,-0.08411907683382935
2024-07-11_04,4,pls,template,0.2891737107461823,0.2952584701774141,-0.2891737107461765
2024-07-11_04,4,pls,mean_shift,0.18111522493400983,0.19067997778394868,-0.1811152249340111
2024-07-11_04,4,pls,full_map,0.18111522493400728,0.1967690472859204,-0.181115224934004
2024-07-11_05,4,pls,template,0.2230197781619127,0.232276074710211,-0.22301977816191254
2024-07-11_05,4,pls,mean_shift,0.10480237975267015,0.11623545369950176,-0.0964174634873487
2024-07-11_05,4,pls,full_map,0.11565559453111182,0.12780148440821276,-0.0964174634873487
2024-07-11_06,4,pls,template,0.07446054451167024,0.09619571027520199,0.055606064534714505
2024-07-11_06,4,pls,mean_shift,0.06589121913482443,0.0797589063481608,-0.014138701480099769
2024-07-11_06,4,pls,full_map,0.05645638053401066,0.06960299262802415,-0.014138701480085558
2024-07-11_07,4,pls,template,0.4780880870066261,0.492304469808486,0.47808808700662553
2024-07-11_07,4,pls,mean_shift,0.11188024578901266,0.12944059821708445,-0.05440033465924188
2024-07-11_07,4,pls,full_map,0.06935543515930444,0.09350170732741196,-0.05440033465924188
2024-07-11_08,4,pls,template,0.552483592624604,0.5643488487649435,0.5524835926246041
2024-07-11_08,4,pls,mean_shift,0.09865857815532053,0.11661206546927985,-0.01862446858527278
2024-07-11_08,4,pls,full_map,0.04911779413935487,0.06742241002991989,-0.018624468585279885
2024-07-11_09,4,pls,template,0.743309435321233,0.7530559788410577,0.7433094353212297
2024-07-11_09,4,pls,mean_shift,0.362297349524052,0.3818949595148465,0.3622973495240345
2024-07-11_09,4,pls,full_map,0.36250604830540273,0.3690921333556762,0.3622973495240487
2024-07-11_10,4,pls,template,0.2677566263324694,0.29994288090544974,0.26775662633246355
