experiment_key,test_lot,calibration_lot,nominal_coverage,X,Y,observed,predicted,absolute_error,point_half_width,point_covered,simultaneous_half_width,simultaneous_map_covered
2024-07-11_02,4,3,0.8,-95000.0,19000.0,50.4501,49.922604176845695,0.5274958231543039,0.6240327509484374,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,19000.0,43.3257,42.79792533842551,0.5277746615744903,0.5772673423020578,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,19000.0,41.5916,41.13050795581463,0.46109204418537075,0.43601624773811665,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,19000.0,41.6636,41.19215211190932,0.4714478880906796,0.48873898833470264,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,19000.0,41.9994,41.5179365673073,0.4814634326926992,0.5249267267322679,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,19000.0,42.177,41.64055587012544,0.5364441298745604,0.5131024920987599,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,19000.0,41.9592,41.372172069671606,0.5870279303283965,0.48496268709885726,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,19000.0,41.5739,40.9144758177893,0.6594241822106994,0.4743134424068316,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,19000.0,41.4794,40.748648691988706,0.7307513080112926,0.47215298653625837,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,76000.0,19000.0,43.1099,42.23123745002291,0.8786625499770935,0.4956123188486785,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,95000.0,19000.0,51.3327,49.85658168191244,1.4761183180875648,0.6996200860146544,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,38000.0,44.9212,44.29150087460042,0.6296991253995756,0.5985111603935565,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,38000.0,41.728,41.230416744699006,0.4975832553009951,0.5111008793092608,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,38000.0,41.2388,40.76646938064929,0.4723306193507071,0.4509603336921302,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,38000.0,41.3468,40.83978443742562,0.5070155625743809,0.503848268292046,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,38000.0,41.4561,40.908246764902756,0.5478532350972429,0.504644855795604,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,38000.0,41.318,40.72561003631363,0.5923899636863652,0.4795004082349905,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,38000.0,41.1586,40.487134646561536,0.6714653534384638,0.47820695622893084,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,38000.0,41.6074,40.80882182580186,0.7985781741981413,0.4720346614051465,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,76000.0,38000.0,44.6381,43.659145402340776,0.9789545976592251,0.5071922108148783,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,57000.0,50.4526,49.57470090764606,0.8778990923539354,0.6347730608612352,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,57000.0,43.2422,42.66504689517538,0.5771531048246175,0.5760647027291128,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,57000.0,41.4091,40.87867276812734,0.5304272318726646,0.531593987050826,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,57000.0,40.9943,40.45370545975249,0.5405945402475112,0.5082956737020865,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,57000.0,40.9363,40.356704752273124,0.5795952477268784,0.5032889676412822,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,57000.0,40.9629,40.332850773597805,0.6300492264021926,0.4945076459260136,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,57000.0,41.3231,40.593375183140694,0.7297248168593029,0.490370052301472,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,57000.0,43.0467,42.145295270736646,0.9014047292633549,0.4935422453607714,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,76000.0,57000.0,50.113,48.7643606500978,1.3486393499022,0.7395180942670976,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,76000.0,50.0047,49.1388551478957,0.8658448521043027,0.6302142859643638,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,76000.0,44.2084,43.53151132972704,0.6768886702729588,0.5849607083993789,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,76000.0,42.3593,41.708612671408986,0.6506873285910117,0.5461167254835289,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,76000.0,41.9197,41.227287873795156,0.692412126204843,0.5304690923046493,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,76000.0,42.3136,41.55361987261404,0.7599801273859583,0.518502473917799,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,76000.0,44.0629,43.16584107282135,0.897058927178648,0.5241595328976203,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,76000.0,49.6757,48.44630132663315,1.2293986733668518,0.6731599430439132,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,95000.0,48.9222,48.1961972236143,0.7260027763856982,0.6470395678894718,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,95000.0,49.4389,48.38135606131053,1.05754393868947,0.5985517218744292,False,2.634390738119265,True
