experiment_key,lot_number,family,stage,mae,rmse,mean_shift_absolute_error,residual_profile_mae,residual_profile_rmse
2024-07-19_02,5,pls,template,0.06558046672428643,0.09016291469180654,0.005049150100835188,0.06401484078350538,0.09002142672153791
2024-07-19_02,5,pls,mean_shift,0.23487473022505706,0.2461162908274026,0.22906193778464679,0.06401484078350538,0.09002142672153791
2024-07-19_02,5,pls,full_map,0.23608607448057867,0.24100429282935804,0.2290619377846416,0.042951014262418825,0.07492461425008423
2024-07-19_03,5,pls,template,0.13242362431575924,0.14127272735179489,0.13241152405646797,0.034085121989907485,0.04924603324591717
2024-07-19_03,5,pls,mean_shift,0.11563162786601294,0.12245457281882453,0.11211579109912582,0.034085121989907485,0.04924603324591717
2024-07-19_03,5,pls,full_map,0.11674819508046788,0.13687293241809895,0.11211579109912119,0.05838098304916189,0.07851273154684975
2024-07-19_04,5,pls,template,0.3706997118985877,0.38859898723089475,0.3706997118985877,0.0947807826647123,0.11658000032244457
2024-07-19_04,5,pls,mean_shift,0.160759809364968,0.19858150161140897,0.160759809364968,0.0947807826647123,0.11658000032244457
2024-07-19_04,5,pls,full_map,0.16075980936496376,0.18378489001028867,0.16075980936496376,0.07157388046808541,0.08906834167668333
2024-07-19_05,5,pls,template,0.22371953327571312,0.25421046349624776,0.22371319504465537,0.09650209666611671,0.12072848095577568
2024-07-19_05,5,pls,mean_shift,0.106628700526035,0.1545492110734133,0.09648882074896224,0.09650209666611671,0.12072848095577568
2024-07-19_05,5,pls,full_map,0.10108111651795924,0.14369247782050137,0.09648882074895777,0.0838271777254875,0.10647739503139049
2024-07-19_06,5,pls,template,0.35289072313454306,0.38015920390759445,0.35289072313454306,0.1127618560205131,0.14138301822084312
2024-07-19_06,5,pls,mean_shift,0.17433856913920945,0.22446178857601168,0.17433856913920945,0.1127618560205131,0.14138301822084312
2024-07-19_06,5,pls,full_map,0.1743385691392052,0.20134558363162544,0.1743385691392052,0.07594949700375868,0.10072788768982718
2024-07-19_07,5,pls,template,0.4546379141457789,0.47943811739804987,0.4546379141457789,0.12347317193180278,0.15220143046424262
2024-07-19_07,5,pls,mean_shift,0.12351295655533726,0.1522016135181527,0.0002360554329771351,0.12347317193180159,0.15220143046424262
2024-07-19_07,5,pls,full_map,0.04840630163830232,0.07030376893151968,0.0002360554329811269,0.04837712624770949,0.07030337263466863
2024-07-19_08,5,pls,template,0.5120738692019584,0.5363628616758322,0.5120738692019584,0.1297764261829167,0.1595790458225123
2024-07-19_08,5,pls,mean_shift,0.14280303817948922,0.20369298276061643,0.12659130839158467,0.1297764261829167,0.1595790458225123
2024-07-19_08,5,pls,full_map,0.12670811613831856,0.16609814877193368,0.12659130839158098,0.08573353856440387,0.10753248655718445
2024-07-19_09,5,pls,template,0.44858398156150947,0.48884623828577684,0.44858398156150947,0.15908012974274985,0.19427572203591958
2024-07-19_09,5,pls,mean_shift,0.25926569845485836,0.32397802173583234,0.25926569845485836,0.15908012974274985,0.19427572203591958
2024-07-19_09,5,pls,full_map,0.2592656984548548,0.276656270147692,0.2592656984548548,0.07429176355052496,0.09654009227646826
2024-07-19_10,5,pls,template,0.6554749927974642,0.6833162087325146,0.6554749927974642,0.1578220310178408,0.19306365513410775
2024-07-19_10,5,pls,mean_shift,0.1519424299296387,0.20641525396908367,0.07303206239303131,0.1578220310178408,0.19306365513410775
2024-07-19_10,5,pls,full_map,0.09188415822755439,0.13216749916690246,0.07303206239302716,0.08522880298883802,0.1101570047643551
2024-07-19_01,5,gpr,template,0.5911991645059064,0.6351513075563439,0.5911991645059064,0.16409534991373195,0.23216531045367553
2024-07-19_01,5,gpr,mean_shift,0.17623842642574086,0.29004707503395594,0.17385791427974084,0.16409534991373195,0.23216531045367553
2024-07-19_01,5,gpr,full_map,0.17385791427974612,0.24233370816294952,0.17385791427974612,0.11860378340258025,0.16881662167660516
