experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-09_04,3,pls,mean_shift,0.08198812348565075,0.11841235219978587,-0.07843687101176755,
2024-07-09_04,3,pls,full_map,0.07843687101176323,0.0961556433948194,-0.07843687101176755,
2024-07-09_05,3,pls,template,0.27794605301066067,0.2829198084437817,-0.2779460530106519,
2024-07-09_05,3,pls,mean_shift,0.13437507520300027,0.1413128547286205,0.13107140529456274,
2024-07-09_05,3,pls,full_map,0.13263554837193728,0.139834697648513,0.13107140529456274,
2024-07-09_06,3,pls,template,0.02251557188130161,0.03786491555635987,-0.015666277729756928,
2024-07-09_06,3,pls,mean_shift,0.12184437497421394,0.1266268979523746,-0.1218443749742093,
2024-07-09_06,3,pls,full_map,0.121844374974216,0.13907505225698252,-0.12184437497421641,
2024-07-09_07,3,pls,template,0.1021006770383171,0.10812659701975304,0.09968316047249459,
2024-07-09_07,3,pls,mean_shift,0.08542640603972329,0.09244484852486565,-0.08241008140691974,
2024-07-09_07,3,pls,full_map,0.082410081406931,0.10072307813967747,-0.08241008140692685,
2024-07-09_08,3,pls,template,0.17974720541630573,0.19164827826481448,0.1797472054163194,
2024-07-09_08,3,pls,mean_shift,0.06973587820363532,0.07828072012544414,-0.041326340709787246,
2024-07-09_08,3,pls,full_map,0.04486926610092819,0.07378014663023445,-0.041326340709787246,
2024-07-09_09,3,pls,template,0.25552922788821614,0.2684531937183587,0.25552922788821775,
2024-07-09_09,3,pls,mean_shift,0.10592555852668722,0.1154666985218663,-0.0809977009247902,
2024-07-09_09,3,pls,full_map,0.08290487899120519,0.10209591922822665,-0.08099770092478309,
2024-07-09_10,3,pls,template,0.7088213627196759,0.7141550889292688,0.7088213627196822,
2024-07-09_10,3,pls,mean_shift,0.3317227737214318,0.34297196008016995,0.331722773721431,
2024-07-09_10,3,pls,full_map,0.3317227737214297,0.33566329725937055,0.331722773721431,
2024-07-09_01,3,gpr,template,0.5841281042927114,0.6234476144965109,-0.5784258282915573,
2024-07-09_01,3,gpr,mean_shift,0.31394109837219036,0.3419006720070503,0.25057050970187333,0.2204538683722901
2024-07-09_01,3,gpr,full_map,0.2505705097018754,0.28743398375828216,0.25057050970187333,0.25633549382694387
2024-07-09_02,3,gpr,template,0.5492742005185824,1.2726243555641892,-0.2971033563814416,
2024-07-09_02,3,gpr,mean_shift,0.2723188834303272,1.2374754485477188,-0.0065680862000121465,0.12361757798403614
2024-07-09_02,3,gpr,full_map,0.26937523085603576,1.244458306555664,-0.0065680862000121465,0.16370623391856326
2024-07-09_03,3,gpr,template,0.567262906943245,0.5815672846945394,-0.5672629069432418,
2024-07-09_03,3,gpr,mean_shift,0.2682479091147588,0.29730496426685976,-0.2682479091147627,0.12982452375551712
2024-07-09_03,3,gpr,full_map,0.26824790911476054,0.29399267322714256,-0.2682479091147627,0.16593797341909455
2024-07-09_04,3,gpr,template,0.3734651541342567,0.383855915379579,-0.3734651541342586,
2024-07-09_04,3,gpr,mean_shift,0.120804567285793,0.14987623526255955,-0.12080456728579492,0.12245206642607082
2024-07-09_04,3,gpr,full_map,0.12159811881343258,0.12932956244725857,-0.12080456728580913,0.1593699307172827
2024-07-09_05,3,gpr,template,0.27794605301066067,0.2829198084437817,-0.2779460530106519,
2024-07-09_05,3,gpr,mean_shift,0.1118389990953599,0.12023866995865061,0.10801725847181132,0.1594484107584142
2024-07-09_05,3,gpr,full_map,0.11767005531981303,0.131126220418595,0.10801725847180421,0.20184208776901738
2024-07-09_06,3,gpr,template,0.02251557188130161,0.03786491555635987,-0.015666277729756928,
2024-07-09_06,3,gpr,mean_shift,0.10246489752409113,0.10810816248927152,-0.1024648975240936,0.116925910809097
2024-07-09_06,3,gpr,full_map,0.10413763096472219,0.11017086372659655,-0.1024648975240936,0.15391803834453685
2024-07-09_07,3,gpr,template,0.1021006770383171,0.10812659701975304,0.09968316047249459,
2024-07-09_07,3,gpr,mean_shift,0.10036728293434549,0.1079668780007779,-0.09950989018155809,0.12201346973090815
2024-07-09_07,3,gpr,full_map,0.1024286762841256,0.11749317290334019,-0.09950989018155809,0.15982872291899836
2024-07-09_08,3,gpr,template,0.17974720541630573,0.19164827826481448,0.1797472054163194,
2024-07-09_08,3,gpr,mean_shift,0.06842011563310903,0.07709320131811939,-0.039030206027888426,0.12650499998913525
2024-07-09_08,3,gpr,full_map,0.05642693524719597,0.08033544534702719,-0.039030206027888426,0.16306006585248187
2024-07-09_09,3,gpr,template,0.25552922788821614,0.2684531937183587,0.25552922788821775,
2024-07-09_09,3,gpr,mean_shift,0.08732537885115581,0.09795147860612881,-0.05312778226774384,0.13700623697099398
2024-07-09_09,3,gpr,full_map,0.07573331108527079,0.10837822972884552,-0.05312778226774384,0.1724722105736946
2024-07-09_10,3,gpr,template,0.7088213627196759,0.7141550889292688,0.7088213627196822,
2024-07-09_10,3,gpr,mean_shift,0.2591452463920668,0.2733971937006641,0.25914524639207315,0.1334152881127668
2024-07-09_10,3,gpr,full_map,0.2612120454488934,0.2643573519200827,0.25914524639207315,0.1723256869781773
2024-07-11_01,4,ridge,template,0.6035388792855085,0.6325098245412559,-0.6035388792855088,
2024-07-11_01,4,ridge,mean_shift,0.16255907879341244,0.24711421652188412,-0.15892116496937092,
2024-07-11_01,4,ridge,full_map,0.158921164969369,0.19970939312432576,-0.15892116496937092,
2024-07-11_02,4,ridge,template,0.6646883174877553,0.6793164976193424,-0.6646883174877516,
2024-07-11_02,4,ridge,mean_shift,0.2724766660555994,0.30643739666999154,-0.27247666605559573,
2024-07-11_02,4,ridge,full_map,0.2724766660555967,0.29302064458497695,-0.27247666605559573,
2024-07-11_03,4,ridge,template,0.6126534860270813,0.6181021717238625,-0.612653486027078,
2024-07-11_03,4,ridge,mean_shift,0.13759784446816078,0.15895688809200156,-0.1362398308985746,
2024-07-11_03,4,ridge,full_map,0.1402650002826711,0.15815389125243376,-0.1362398308985746,
2024-07-11_04,4,ridge,template,0.2891737107461823,0.2952584701774141,-0.2891737107461765,
2024-07-11_04,4,ridge,mean_shift,0.18747290174716952,0.19672879330259224,-0.1874729017471637,
2024-07-11_04,4,ridge,full_map,0.18747290174716721,0.19798880466782268,-0.1874729017471637,
2024-07-11_05,4,ridge,template,0.2230197781619127,0.232276074710211,-0.22301977816191254,
2024-07-11_05,4,ridge,mean_shift,0.14240951819066322,0.15515330756565374,-0.14091910948188513,
2024-07-11_05,4,ridge,full_map,0.1419413165818518,0.15654741935815986,-0.14091910948187802,
2024-07-11_06,4,ridge,template,0.07446054451167024,0.09619571027520199,0.055606064534714505,
2024-07-11_06,4,ridge,mean_shift,0.06420495720816392,0.07979327243409927,0.01433129664162891,
2024-07-11_06,4,ridge,full_map,0.05605813618968816,0.06673357321886143,0.014331296641650226,
2024-07-11_07,4,ridge,template,0.4780880870066261,0.492304469808486,0.47808808700662553,
2024-07-11_07,4,ridge,mean_shift,0.09365977919644292,0.11745438757609845,-0.00024719449249488434,
2024-07-11_07,4,ridge,full_map,0.07027693446900093,0.09805801977541273,-0.00024719449249488434,
2024-07-11_08,4,ridge,template,0.552483592624604,0.5643488487649435,0.5524835926246041,
2024-07-11_08,4,ridge,mean_shift,0.09021307849818144,0.12599109479360227,0.05120793868495355,
