stage,X,Y,coordinate_mae
mean_shift,-95000.0,19000.0,0.2652430118732107
mean_shift,-76000.0,-57000.0,0.2416981059541115
mean_shift,-76000.0,-38000.0,0.4168970655345033
mean_shift,-76000.0,-19000.0,0.1554405749119015
mean_shift,-76000.0,0.0,0.15135492944339896
mean_shift,-76000.0,19000.0,0.1590048964565371
mean_shift,-76000.0,38000.0,0.19212613477532112
mean_shift,-76000.0,57000.0,0.3062530048244201
mean_shift,-57000.0,-76000.0,0.211683157664005
mean_shift,-57000.0,-57000.0,0.1448585333476714
mean_shift,-57000.0,-38000.0,0.1367826380412027
mean_shift,-57000.0,-19000.0,0.13418838758171361
mean_shift,-57000.0,0.0,0.12944152812623963
mean_shift,-57000.0,19000.0,0.128104483179341
mean_shift,-57000.0,38000.0,0.1349726921924769
mean_shift,-57000.0,57000.0,0.17066175883300874
mean_shift,-57000.0,76000.0,0.3029108578745504
mean_shift,-38000.0,-76000.0,0.13603953561073412
mean_shift,-38000.0,-57000.0,0.12921966948546323
mean_shift,-38000.0,-38000.0,0.13004735121225072
mean_shift,-38000.0,-19000.0,0.13154172536989936
mean_shift,-38000.0,0.0,0.1282743374563557
mean_shift,-38000.0,19000.0,0.12191636595304202
mean_shift,-38000.0,38000.0,0.12341702791619781
mean_shift,-38000.0,57000.0,0.13283762511637007
mean_shift,-38000.0,76000.0,0.18353316993219887
mean_shift,-19000.0,-95000.0,0.21397761514585548
mean_shift,-19000.0,-76000.0,0.12272170346767108
mean_shift,-19000.0,-57000.0,0.1239698651340583
mean_shift,-19000.0,-38000.0,0.12564275977770326
mean_shift,-19000.0,-19000.0,0.1265970948835258
mean_shift,-19000.0,0.0,0.12463817633947533
mean_shift,-19000.0,19000.0,0.12331163263881537
mean_shift,-19000.0,38000.0,0.12471860189347299
mean_shift,-19000.0,57000.0,0.12500494288197952
mean_shift,-19000.0,76000.0,0.14531764937775493
mean_shift,-19000.0,95000.0,0.25467511606221793
mean_shift,0.0,-95000.0,0.15856109585073364
mean_shift,0.0,-76000.0,0.11981729907701895
mean_shift,0.0,-57000.0,0.12052354122151178
mean_shift,0.0,-38000.0,0.12343053465466948
mean_shift,0.0,-19000.0,0.12335572288729009
mean_shift,0.0,0.0,0.12720325509429378
mean_shift,0.0,19000.0,0.12541470404367666
mean_shift,0.0,38000.0,0.11846806882502231
mean_shift,0.0,57000.0,0.11712054713836215
mean_shift,0.0,76000.0,0.13342618296350242
mean_shift,0.0,95000.0,0.2669191743345091
mean_shift,19000.0,-95000.0,0.22544857478714453
mean_shift,19000.0,-76000.0,0.1228456872910523
mean_shift,19000.0,-57000.0,0.12606649353481653
mean_shift,19000.0,-38000.0,0.12598755748859466
mean_shift,19000.0,-19000.0,0.12442220478302063
mean_shift,19000.0,0.0,0.12690122273785345
mean_shift,19000.0,19000.0,0.12445923584815445
mean_shift,19000.0,38000.0,0.11634243391528551
mean_shift,19000.0,57000.0,0.1136529703307998
mean_shift,19000.0,76000.0,0.13056566263535255
mean_shift,19000.0,95000.0,0.25621867416312055
mean_shift,38000.0,-76000.0,0.13390733871648736
mean_shift,38000.0,-57000.0,0.13509852616931628
mean_shift,38000.0,-38000.0,0.13265194795799193
mean_shift,38000.0,-19000.0,0.12990620788896914
mean_shift,38000.0,0.0,0.12704077871604885
mean_shift,38000.0,19000.0,0.1230403973792533
mean_shift,38000.0,38000.0,0.1166957783726008
mean_shift,38000.0,57000.0,0.11805396961302654
mean_shift,38000.0,76000.0,0.14551206246298817
mean_shift,57000.0,-76000.0,0.16838634417787068
mean_shift,57000.0,-57000.0,0.14384331114930202
mean_shift,57000.0,-38000.0,0.1380028529347973
mean_shift,57000.0,-19000.0,0.13453408370585837
mean_shift,57000.0,0.0,0.12900687406576924
mean_shift,57000.0,19000.0,0.1227091614793863
mean_shift,57000.0,38000.0,0.12691089337479228
mean_shift,57000.0,57000.0,0.13460612674865072
mean_shift,57000.0,76000.0,0.23832315124292924
mean_shift,76000.0,-57000.0,0.1753697407982363
mean_shift,76000.0,-38000.0,0.14816475229741846
mean_shift,76000.0,-19000.0,0.14394072583781634
mean_shift,76000.0,0.0,0.13653766169544437
mean_shift,76000.0,19000.0,0.13406311062684606
mean_shift,76000.0,38000.0,0.14801177934275478
mean_shift,76000.0,57000.0,0.2161502968159044
mean_shift,95000.0,-19000.0,0.3860119652102432
mean_shift,95000.0,0.0,0.18657617843848187
mean_shift,95000.0,19000.0,0.27804878513959586
oracle_true_mean_pca_reconstruction,-95000.0,-19000.0,0.12997076406189187
oracle_true_mean_pca_reconstruction,-95000.0,0.0,0.0666528713471322
oracle_true_mean_pca_reconstruction,-95000.0,19000.0,0.18475967433922455
oracle_true_mean_pca_reconstruction,-76000.0,-57000.0,0.06909920737578602
oracle_true_mean_pca_reconstruction,-76000.0,-38000.0,0.18121520932837568
oracle_true_mean_pca_reconstruction,-76000.0,-19000.0,0.06989480469649481
oracle_true_mean_pca_reconstruction,-76000.0,0.0,0.0676536137254956
oracle_true_mean_pca_reconstruction,-76000.0,19000.0,0.06360266933549029
oracle_true_mean_pca_reconstruction,-76000.0,38000.0,0.06285147765238541
oracle_true_mean_pca_reconstruction,-76000.0,57000.0,0.0703878790004106
oracle_true_mean_pca_reconstruction,-57000.0,-76000.0,0.04888889976422795
oracle_true_mean_pca_reconstruction,-57000.0,-57000.0,0.06261555713954267
oracle_true_mean_pca_reconstruction,-57000.0,-38000.0,0.06326649223027149
oracle_true_mean_pca_reconstruction,-57000.0,-19000.0,0.05668918661599549
oracle_true_mean_pca_reconstruction,-57000.0,0.0,0.05270496425775718
oracle_true_mean_pca_reconstruction,-57000.0,19000.0,0.04910324840425078
oracle_true_mean_pca_reconstruction,-57000.0,38000.0,0.05382629345269085
oracle_true_mean_pca_reconstruction,-57000.0,57000.0,0.06395569039521419
oracle_true_mean_pca_reconstruction,-57000.0,76000.0,0.07413195553070868
oracle_true_mean_pca_reconstruction,-38000.0,-76000.0,0.04235284429177411
oracle_true_mean_pca_reconstruction,-38000.0,-57000.0,0.047182205213337595
oracle_true_mean_pca_reconstruction,-38000.0,-38000.0,0.042733307494935265
oracle_true_mean_pca_reconstruction,-38000.0,-19000.0,0.04081232953288592
oracle_true_mean_pca_reconstruction,-38000.0,0.0,0.041157247956888666
oracle_true_mean_pca_reconstruction,-38000.0,19000.0,0.03811286834101009
oracle_true_mean_pca_reconstruction,-38000.0,38000.0,0.04304673756898685
oracle_true_mean_pca_reconstruction,-38000.0,57000.0,0.046708657482839075
oracle_true_mean_pca_reconstruction,-38000.0,76000.0,0.054506589304443326
oracle_true_mean_pca_reconstruction,-19000.0,-95000.0,0.06588404894520185
oracle_true_mean_pca_reconstruction,-19000.0,-76000.0,0.03231727398600222
oracle_true_mean_pca_reconstruction,-19000.0,-57000.0,0.029279569026459642
oracle_true_mean_pca_reconstruction,-19000.0,-38000.0,0.02695675716041247
oracle_true_mean_pca_reconstruction,-19000.0,-19000.0,0.025996820287642466
oracle_true_mean_pca_reconstruction,-19000.0,0.0,0.03641923511620216
oracle_true_mean_pca_reconstruction,-19000.0,19000.0,0.031605198676591506
oracle_true_mean_pca_reconstruction,-19000.0,38000.0,0.032067736748694564
oracle_true_mean_pca_reconstruction,-19000.0,57000.0,0.03376657504508327
oracle_true_mean_pca_reconstruction,-19000.0,76000.0,0.03941196356479957
oracle_true_mean_pca_reconstruction,-19000.0,95000.0,0.11510868686294685
oracle_true_mean_pca_reconstruction,0.0,-95000.0,0.04595904916452476
oracle_true_mean_pca_reconstruction,0.0,-76000.0,0.020798109468945194
oracle_true_mean_pca_reconstruction,0.0,-57000.0,0.015239685693700105
oracle_true_mean_pca_reconstruction,0.0,-38000.0,0.017889731425117992
oracle_true_mean_pca_reconstruction,0.0,-19000.0,0.022847244068132596
oracle_true_mean_pca_reconstruction,0.0,0.0,0.03870482247302915
oracle_true_mean_pca_reconstruction,0.0,19000.0,0.028186069291271855
oracle_true_mean_pca_reconstruction,0.0,38000.0,0.020249149990130763
oracle_true_mean_pca_reconstruction,0.0,57000.0,0.020110271639193492
oracle_true_mean_pca_reconstruction,0.0,76000.0,0.027711638640796933
oracle_true_mean_pca_reconstruction,0.0,95000.0,0.07052714965599885
oracle_true_mean_pca_reconstruction,19000.0,-95000.0,0.097513635648599
