experiment_key,lot_number,stage,full_map_mae,full_map_rmse,mean_shift_absolute_error,mean_centered_residual_mae,mean_centered_residual_rmse,spatial_correlation_after_mean_removal,center_mean_error,middle_zone_mean_error,edge_mean_error,center_to_edge_difference_error,map_standard_deviation_error,map_range_error,worst_point_absolute_error,p95_point_absolute_error
2024-07-05_03,2,mean_shift,0.10025623738232183,0.10619114695757491,0.09661792416142685,0.02950087142584523,0.04406286898174064,0.9999252655135924,0.08677511869390742,0.09903489179117742,0.09702004253787067,0.01024492384396325,0.0038517970777305344,0.0971846153846343,0.24572697054576764,0.1500028679816495
2024-07-05_03,2,oracle_true_mean_pca_reconstruction,0.024401244372906396,0.03675032501766749,7.185263620045957e-16,0.024401244372906396,0.03675032501766749,0.9999502146992312,0.003337151027082541,0.006412168893973558,0.00287512249591515,0.00046202853116739107,0.008287207236155059,0.07627696934320483,0.1596160965001232,0.07335115976907494
2024-07-05_03,2,oracle_true_mean_zero_residual,0.02950087142584451,0.04406286898174064,5.5087021087019e-15,0.02950087142584523,0.04406286898174064,0.9999252655135924,0.009842805467513926,0.0024169676297560727,0.00040211837645642845,0.010244923843970355,0.0038517970777305344,0.0971846153846343,0.15310505617976844,0.10738947277442598
2024-07-05_03,2,template,0.33805776433304563,0.34091727508115377,0.33805776433304563,0.02950087142584523,0.04406286898174064,0.9999252655135924,0.34790056980056505,0.33564079670330926,0.3376556459565876,0.01024492384397746,0.0038517970777305344,0.0971846153846343,0.49116282051281956,0.3978869230769262
2024-07-05_04,2,full_map,0.060871728084151436,0.08524378311537777,0.024975053428248996,0.06518307432060853,0.08150306292451634,0.999918953876385,0.04660294355769423,0.029953986820487444,0.06694072842513066,0.11354367198282489,0.06785684699802452,0.23638268487929537,0.24996569524290635,0.20250041146305336
2024-07-05_04,2,mean_shift,0.06758219541968626,0.09362184054888129,0.024975053428254904,0.07274263188732477,0.09022912907712213,0.9999068907531682,0.056405454910681385,0.0376405230832475,0.07277622107002912,0.1291816759807105,0.0761204476265509,0.25868461538463805,0.2701677644625349,0.22104904651382354
2024-07-05_04,2,oracle_true_mean_pca_reconstruction,0.022290098746925103,0.026617097671250662,8.781988868945058e-16,0.022290098746925665,0.026617097671250655,0.9999743310711827,0.005278860134282581,0.0040667736167279145,0.0031034500476252447,0.008382310181907826,0.008580222602877274,0.07080420125337383,0.0675089841202734,0.04632494997162694
2024-07-05_04,2,oracle_true_mean_zero_residual,0.0727426318873226,0.09022912907712213,5.109520796477125e-15,0.07274263188732477,0.09022912907712213,0.9999068907531682,0.08138050833893118,0.0626155765115044,0.047801167641786435,0.12918167598071761,0.0761204476265509,0.25868461538463805,0.24519271103428508,0.19607399308557374
2024-07-05_04,2,template,0.17793549409392084,0.19950522748154673,0.17793549409392084,0.07274263188732477,0.09022912907712213,0.9999068907531682,0.09655498575498456,0.11531991758240423,0.22573666173570928,0.12918167598072472,0.0761204476265509,0.25868461538463805,0.4231282051282008,0.3740094871794895
2024-07-05_05,2,full_map,0.08052734097372147,0.12042924511771617,0.06383614576929958,0.08022720878863429,0.10211831164362102,0.9998488341175278,0.039844789904101674,0.007051439942785009,0.11995116155773644,0.15979595146183811,0.08130834852221991,0.21347063375304742,0.3891185708814291,0.2800309005680134
