test_lot,mode,feedback,policy,budget,total_system_mae,unmeasured_wafer_mae,measured_fraction,high_error_capture,p95_system_error,cumulative_system_error,updates,update_runtime_seconds,drift_error_threshold,drift_onset_wafer_order,recovery_wafer_count,random_replicates
4,ranking_only,F0,validated_combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,validated_combined,0.1,0.22335334567855608,0.24817038408728453,0.1,0.0,0.3823129588374182,2.233533456785561,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,validated_combined,0.2,0.19423744680408705,0.24279680850510882,0.2,0.0,0.3823129588374182,1.9423744680408705,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,validated_combined,0.3,0.17197292094457484,0.24567560134939262,0.3,0.0,0.3823129588374182,1.7197292094457484,0.0,0.0,0.186147802036805,1.0,3.0,1
4,ranking_only,F0,validated_combined,0.5,0.14093766791301413,0.28187533582602825,0.5,0.0,0.3823129588374182,1.4093766791301412,0.0,0.0,0.186147802036805,1.0,3.0,1
5,causal_feedback,F0,combined,0.0,0.14549729459373517,0.14549729459373517,0.0,0.0,0.2488348676664305,1.4549729459373517,0.0,0.006733100000928971,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F0,combined,0.1,0.13630887877097972,0.15145430974553303,0.1,0.0,0.2488348676664305,1.3630887877097972,0.0,0.007845500000257744,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F0,combined,0.2,0.11038230892549424,0.1379778861568678,0.2,0.5,0.20829969707696055,1.1038230892549423,0.0,0.004459399999177549,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F0,combined,0.3,0.09641281823597955,0.1377325974799708,0.3,0.5,0.20829969707696055,0.9641281823597956,0.0,0.012873400000898982,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F0,combined,0.5,0.07890137645831748,0.15780275291663495,0.5,0.5,0.20829969707696055,0.7890137645831747,0.0,0.008364400000573369,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F1,combined,0.0,0.14549729459373517,0.14549729459373517,0.0,0.0,0.2488348676664305,1.4549729459373517,0.0,0.006312600000455859,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F1,combined,0.1,0.13630887877097972,0.15145430974553303,0.1,0.0,0.2488348676664305,1.3630887877097972,1.0,0.006111200000304962,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F1,combined,0.2,0.11038230892549424,0.1379778861568678,0.2,0.5,0.20829969707696055,1.1038230892549423,2.0,0.002290599999469123,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F1,combined,0.3,0.12111778562280698,0.17302540803258143,0.3,0.5,0.24859704164265423,1.2111778562280697,3.0,0.006833999999798834,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F1,combined,0.5,0.09880296815655457,0.19760593631310913,0.5,0.5,0.24859704164265423,0.9880296815655456,5.0,0.012199400000099558,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F2,combined,0.0,0.14549729459373517,0.14549729459373517,0.0,0.0,0.2488348676664305,1.4549729459373517,0.0,0.0029881000009481795,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F2,combined,0.1,0.13630887877097972,0.15145430974553303,0.1,0.0,0.2488348676664305,1.3630887877097972,1.0,0.009596100000635488,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F2,combined,0.2,0.11038230892549424,0.1379778861568678,0.2,0.5,0.20829969707696055,1.1038230892549423,2.0,0.012450199999875622,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F2,combined,0.3,0.1126244703478001,0.1608921004968573,0.3,0.0,0.22521985391357857,1.126244703478001,3.0,0.018388400001640548,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F2,combined,0.5,0.08873652706319876,0.17747305412639752,0.5,0.0,0.22521985391357857,0.8873652706319877,5.0,0.03676819999964209,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F3,combined,0.0,0.14549729459373517,0.14549729459373517,0.0,0.0,0.2488348676664305,1.4549729459373517,0.0,0.006522000001496053,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F3,combined,0.1,0.13630887877097972,0.15145430974553303,0.1,0.0,0.2488348676664305,1.3630887877097972,1.0,0.012063099999068072,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F3,combined,0.2,0.11038230892549424,0.1379778861568678,0.2,0.5,0.20829969707696055,1.1038230892549423,2.0,0.014294000000518281,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F3,combined,0.3,0.11366665484835936,0.16238093549765623,0.3,0.0,0.22404764381327102,1.1366665484835936,3.0,0.035789800000202376,0.16174439123017387,2.0,1.0,1
5,causal_feedback,F3,combined,0.5,0.08833005579510335,0.1766601115902067,0.5,0.0,0.22404764381327102,0.8833005579510335,5.0,0.058920200001011835,0.16174439123017387,2.0,1.0,1
5,direct_substitution,F0,combined,0.0,0.14549729459373517,0.14549729459373517,0.0,0.0,0.2488348676664305,1.4549729459373517,0.0,0.0,0.16174439123017387,2.0,1.0,1
5,direct_substitution,F0,combined,0.1,0.13630887877097972,0.15145430974553303,0.1,0.0,0.2488348676664305,1.3630887877097972,0.0,0.0,0.16174439123017387,2.0,1.0,1
5,direct_substitution,F0,combined,0.2,0.11038230892549424,0.1379778861568678,0.2,0.5,0.20829969707696055,1.1038230892549423,0.0,0.0,0.16174439123017387,2.0,1.0,1
5,direct_substitution,F0,combined,0.3,0.09641281823597955,0.1377325974799708,0.3,0.5,0.20829969707696055,0.9641281823597956,0.0,0.0,0.16174439123017387,2.0,1.0,1
