mode,feedback,policy,budget,lot_macro_system_mae,lot_macro_unmeasured_mae,mean_measured_fraction,mean_high_error_capture,worst_lot_mae,mean_p95_system_error,cumulative_error,mean_updates,mean_update_runtime_seconds,mean_recovery_wafer_count
ranking_only,F0,ood,0.1,0.1598409698058957,0.17781710329453002,0.09682539682539683,0.0,0.23253114343904085,0.3401358298846295,9.971123589821262,0.0,0.0,2.0
ranking_only,F0,ood,0.2,0.13796537957550198,0.17295435390403968,0.20555555555555555,0.14285714285714285,0.20125950089759184,0.3342291423438679,8.55720848847186,0.0,0.0,2.0
ranking_only,F0,ood,0.3,0.10903502330467112,0.1561664686433773,0.30238095238095236,0.35714285714285715,0.1789949750380796,0.27488860255332526,6.753716609780957,0.0,0.0,2.0
ranking_only,F0,ood,0.5,0.0841995299591408,0.1666795472914069,0.4920634920634921,0.5,0.12036942818686251,0.2630985461814143,5.187656190560551,0.0,0.0,2.0
ranking_only,F0,oracle,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,oracle,0.1,0.13474608582743505,0.14958928806163993,0.09682539682539683,0.42857142857142855,0.20757909975301714,0.2630489191401574,8.3256458953098,0.0,0.0,2.0
ranking_only,F0,oracle,0.2,0.10506811184414641,0.1316650815331367,0.20555555555555555,0.9285714285714286,0.17212670063588292,0.19745436033755667,6.516919968346993,0.0,0.0,2.0
ranking_only,F0,oracle,0.3,0.08133008451647443,0.11673514465059,0.30238095238095236,1.0,0.14301080176141387,0.14919391456810596,4.992493779973917,0.0,0.0,2.0
ranking_only,F0,oracle,0.5,0.05283254520612637,0.10427548980978976,0.4920634920634921,1.0,0.09601558313465622,0.1272787936721201,3.2408180344008715,0.0,0.0,2.0
ranking_only,F0,periodic,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,periodic,0.1,0.1598409698058957,0.17781710329453002,0.09682539682539683,0.0,0.23253114343904085,0.3401358298846295,9.971123589821262,0.0,0.0,2.0
ranking_only,F0,periodic,0.2,0.1387660438991974,0.17395518430865894,0.20555555555555555,0.07142857142857142,0.20372566780532503,0.3079375824068026,8.613254991130535,0.0,0.0,2.0
ranking_only,F0,periodic,0.3,0.12426811943061893,0.17817430132710635,0.30238095238095236,0.14285714285714285,0.18896990254391657,0.3029859683555679,7.701662096996994,0.0,0.0,2.0
ranking_only,F0,periodic,0.5,0.08396929385932542,0.16615081258831346,0.4920634920634921,0.42857142857142855,0.12888682311975647,0.2514576495003899,5.350066812652173,0.0,0.0,2.0
ranking_only,F0,validated_combined,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
ranking_only,F0,validated_combined,0.1,0.1557740664983319,0.17329832184168134,0.09682539682539683,0.0,0.22335334567855608,0.3401358298846295,9.686440358291797,0.0,0.0,2.0
ranking_only,F0,validated_combined,0.2,0.1399521921732703,0.17541791732803494,0.20555555555555555,0.07142857142857142,0.19423744680408705,0.3343450912289909,8.700196025665804,0.0,0.0,2.0
ranking_only,F0,validated_combined,0.3,0.11349915584421309,0.1625038961962927,0.30238095238095236,0.2857142857142857,0.17280758013498576,0.2861524911764298,7.0701165428990596,0.0,0.0,2.0
ranking_only,F0,validated_combined,0.5,0.0899700923512978,0.17833240508572562,0.4920634920634921,0.35714285714285715,0.14093766791301413,0.2849032930677197,5.595506213361705,0.0,0.0,2.0
